date,close
2016-08-19,0.76275
2016-08-22,0.76265
2016-08-23,0.76156
2016-08-24,0.76136
2016-08-25,0.76174
2016-08-26,0.75624
2016-08-29,0.75696
2016-08-30,0.75102
2016-08-31,0.75183
2016-09-01,0.75515
2016-09-02,0.75709
2016-09-05,0.75822
2016-09-06,0.76876
2016-09-07,0.76728
2016-09-08,0.76441
2016-09-09,0.75379
2016-09-12,0.75659
2016-09-13,0.74655
2016-09-14,0.74682
2016-09-15,0.7515
2016-09-16,0.74922
2016-09-19,0.75337
2016-09-20,0.75553
2016-09-21,0.76233
2016-09-22,0.76437
2016-09-23,0.76226
2016-09-26,0.76368
2016-09-27,0.76664
2016-09-28,0.76921
2016-09-29,0.76359
2016-09-30,0.76592
2016-10-03,0.76737
2016-10-04,0.76188
2016-10-05,0.76217
2016-10-06,0.75845
2016-10-07,0.75876
2016-10-10,0.76067
2016-10-11,0.75393
2016-10-12,0.75625
2016-10-13,0.75686
2016-10-14,0.76162
2016-10-17,0.76284
2016-10-18,0.76658
2016-10-19,0.77217
2016-10-20,0.76271
2016-10-21,0.76078
2016-10-24,0.76105
2016-10-25,0.76461
2016-10-26,0.76507
2016-10-27,0.75879
2016-10-28,0.75995
2016-10-31,0.76096
2016-11-01,0.76521
2016-11-02,0.76601
2016-11-03,0.76829
2016-11-04,0.76748
2016-11-07,0.77285
2016-11-08,0.77619
2016-11-09,0.7635
2016-11-10,0.76129
2016-11-11,0.75452
2016-11-14,0.75537
2016-11-15,0.7559
2016-11-16,0.75025
2016-11-17,0.74055
2016-11-18,0.73362
2016-11-21,0.73681
2016-11-22,0.74022
2016-11-23,0.73852
2016-11-24,0.74076
2016-11-25,0.74424
2016-11-28,0.74819
2016-11-29,0.74836
2016-11-30,0.73837
2016-12-01,0.74149
2016-12-02,0.74571
2016-12-05,0.74724
2016-12-06,0.74615
2016-12-07,0.74821
2016-12-08,0.74637
2016-12-09,0.7448
2016-12-12,0.74966
2016-12-13,0.74995
2016-12-14,0.7441
2016-12-15,0.73593
2016-12-16,0.73059
2016-12-19,0.72454
2016-12-20,0.726
2016-12-21,0.72371
2016-12-22,0.72171
2016-12-23,0.71764
2016-12-26,0.71916
2016-12-27,0.71843
2016-12-28,0.71763
2016-12-29,0.72189
2016-12-30,0.72066
2017-01-02,0.71842
2017-01-03,0.72196
2017-01-04,0.72836
2017-01-05,0.73382
2017-01-06,0.72979
2017-01-09,0.73531
2017-01-10,0.73684
2017-01-11,0.74407
2017-01-12,0.74835
2017-01-13,0.75018
2017-01-16,0.74769
2017-01-17,0.75668
2017-01-18,0.7511
2017-01-19,0.75614
2017-01-20,0.75573
2017-01-23,0.75848
2017-01-24,0.75815
2017-01-25,0.75718
2017-01-26,0.75352
2017-01-27,0.75507
2017-01-30,0.75546
2017-01-31,0.75854
2017-02-01,0.75856
2017-02-02,0.7657
2017-02-03,0.76842
2017-02-06,0.76595
2017-02-07,0.76272
2017-02-08,0.76452
2017-02-09,0.76242
2017-02-10,0.76775
2017-02-13,0.76402
2017-02-14,0.76638
2017-02-15,0.77096
2017-02-16,0.76938
2017-02-17,0.76643
2017-02-20,0.76888
2017-02-21,0.76755
2017-02-22,0.77026
2017-02-23,0.77155
2017-02-24,0.76726
2017-02-27,0.76732
2017-02-28,0.76552
2017-03-01,0.76765
2017-03-02,0.75726
2017-03-03,0.75959
2017-03-06,0.75789
2017-03-07,0.75879
2017-03-08,0.75275
2017-03-09,0.75065
2017-03-10,0.75422
2017-03-13,0.7571
2017-03-14,0.75595
2017-03-15,0.77097
2017-03-16,0.76985
2017-03-17,0.77026
2017-03-20,0.77311
2017-03-21,0.76907
2017-03-22,0.76784
2017-03-23,0.76265
2017-03-24,0.76231
2017-03-27,0.76177
2017-03-28,0.76345
2017-03-29,0.76697
2017-03-30,0.76391
2017-03-31,0.76287
2017-04-03,0.76046
2017-04-04,0.75648
2017-04-05,0.75697
2017-04-06,0.75449
2017-04-07,0.75005
2017-04-10,0.75
2017-04-11,0.74989
2017-04-12,0.75231
2017-04-13,0.75687
2017-04-14,0.75846
2017-04-17,0.75875
2017-04-18,0.75601
2017-04-19,0.74975
2017-04-20,0.75266
2017-04-21,0.75438
2017-04-24,0.75706
2017-04-25,0.75353
2017-04-26,0.74739
2017-04-27,0.74654
2017-04-28,0.74895
2017-05-01,0.75259
2017-05-02,0.75358
2017-05-03,0.74228
2017-05-04,0.74095
2017-05-05,0.74194
2017-05-08,0.73865
2017-05-09,0.73445
2017-05-10,0.73663
2017-05-11,0.73789
2017-05-12,0.73866
2017-05-15,0.7413
2017-05-16,0.74261
2017-05-17,0.74321
2017-05-18,0.74194
2017-05-19,0.74559
2017-05-22,0.74757
2017-05-23,0.74785
2017-05-24,0.75038
2017-05-25,0.74548
2017-05-26,0.74471
2017-05-29,0.74401
2017-05-30,0.74654
2017-05-31,0.74316
2017-06-01,0.73743
2017-06-02,0.74432
2017-06-05,0.74867
2017-06-06,0.75062
2017-06-07,0.75481
2017-06-08,0.75459
2017-06-09,0.75276
2017-06-12,0.75417
2017-06-13,0.75376
2017-06-14,0.75826
2017-06-15,0.75792
2017-06-16,0.76178
2017-06-19,0.76011
2017-06-20,0.75809
2017-06-21,0.7551
2017-06-22,0.75428
2017-06-23,0.75678
2017-06-26,0.75855
2017-06-27,0.75832
2017-06-28,0.76397
2017-06-29,0.76835
2017-06-30,0.76905
2017-07-03,0.76603
2017-07-04,0.7606
2017-07-05,0.76035
2017-07-06,0.75865
2017-07-07,0.76047
2017-07-10,0.76065
2017-07-11,0.7638
2017-07-12,0.76781
2017-07-13,0.77317
2017-07-14,0.78325
2017-07-17,0.78018
2017-07-18,0.79161
2017-07-19,0.79518
2017-07-20,0.79577
2017-07-21,0.79149
2017-07-24,0.79239
2017-07-25,0.79369
2017-07-26,0.80053
2017-07-27,0.7967
2017-07-28,0.7986
2017-07-31,0.80027
2017-08-01,0.79688
2017-08-02,0.7973
2017-08-03,0.79501
2017-08-04,0.79298
2017-08-07,0.79116
2017-08-08,0.7914
2017-08-09,0.78865
2017-08-10,0.78752
2017-08-11,0.7894
2017-08-14,0.78518
2017-08-15,0.78222
2017-08-16,0.79246
2017-08-17,0.78836
2017-08-18,0.79283
2017-08-21,0.79386
2017-08-22,0.79111
2017-08-23,0.79042
2017-08-24,0.79069
2017-08-25,0.79335
2017-08-28,0.79634
2017-08-29,0.79493
2017-08-30,0.79055
2017-08-31,0.79473
2017-09-01,0.7978
2017-09-04,0.79446
2017-09-05,0.79959
2017-09-06,0.80001
2017-09-07,0.80473
2017-09-08,0.80548
2017-09-11,0.80287
2017-09-12,0.8019
